PERIODO,VTDD_REAL (R$ B),VTDD_PRED (R$ B),VTDD_PREVISTA (R$ B)
out/24,402.03,396.72,
nov/24,410.14,405.78,
dez/24,404.07,414.84,
jan/25,419.0,423.89,
fev/25,437.0,432.95,
mar/25,438.0,442.0,
abr/25,457.0,451.06,
mai/25,465.0,460.11,
jun/25,477.0,469.17,
jul/25,482.0,478.23,
ago/25,,,492.7
set/25,,,502.45
out/25,,,512.19
nov/25,,,521.93
dez/25,,,531.67
