Mês,Ano,% Total (no período),Qtd. Total (mi)
Outubro,2024,9.68,73.1
Novembro,2024,9.77,73.79
Dezembro,2024,9.73,73.51
Janeiro,2025,9.88,74.6
Fevereiro,2025,9.93,75.0
Março,2025,10.02,75.7
Abril,2025,10.14,76.6
Maio,2025,10.19,77.0
Junho,2025,10.3,77.8
Julho,2025,10.35,78.2
Total,,99.99,755.3
